"CORD_ID","DIRECTION","KNOT_VALUE_DECIMAL","CLUSTER_ID","KNOT_ID","KNOT_ORDINAL","CLUSTER_ORDINAL","NUM_TURNS"
3000038,"Z",100,1000047,1000105,1,1,0
3000038,"Z",6,1000048,1000106,2,1,6
3000039,"Z",100,1000049,1000107,1,1,0
3000039,"Z",7,1000050,1000108,2,1,7
3000040,"Z",100,1000051,1000109,1,1,0
3000041,"Z",100,1000052,1000110,1,1,0
3000041,"Z",100,1000052,1000111,2,2,0
3000041,"Z",100,1000052,1000112,3,3,0
3000041,"Z",4,1000053,1000113,4,1,4
3000042,"Z",1000,1000054,1000114,1,1,0
3000042,"Z",1000,1000054,1000115,2,2,0
3000042,"Z",1000,1000054,1000116,3,3,0
3000042,"Z",1000,1000054,1000117,4,4,0
3000042,"Z",100,1000055,1000118,5,1,0
3000042,"Z",100,1000055,1000119,6,2,0
3000042,"Z",100,1000055,1000120,7,3,0
3000042,"Z",100,1000055,1000121,8,4,0
3000042,"Z",100,1000055,1000122,9,5,0
3000042,"Z",100,1000055,1000123,10,6,0
3000042,"Z",7,1000056,1000124,11,1,7
3000043,"Z",1000,1000057,1000125,1,1,0
3000043,"Z",6,1000058,1000126,2,1,6
3000044,"Z",100,1000059,1000127,1,1,0
3000044,"Z",100,1000059,1000128,2,2,0
3000044,"Z",100,1000059,1000129,3,3,0
3000044,"Z",100,1000059,1000130,4,4,0
3000044,"Z",100,1000059,1000131,5,5,0
3000044,"Z",100,1000059,1000132,6,6,0
3000044,"Z",4,1000060,1000133,7,1,4
3000045,"Z",100,1000061,1000134,1,1,0
3000045,"Z",100,1000061,1000135,2,2,0
3000045,"Z",100,1000061,1000136,3,3,0
3000045,"Z",100,1000061,1000137,4,4,0
3000045,"Z",100,1000061,1000138,5,5,0
3000045,"Z",100,1000061,1000139,6,6,0
3000045,"Z",100,1000061,1000140,7,7,0
3000045,"Z",10,1000062,1000141,8,1,0
3000045,"Z",10,1000062,1000142,9,2,0
3000045,"Z",10,1000062,1000143,10,3,0
3000045,"Z",10,1000062,1000144,11,4,0
3000045,"Z",10,1000062,1000145,12,5,0
3000045,"Z",10,1000062,1000146,13,6,0
3000045,"Z",1,1000063,1000147,14,1,0
3000046,"Z",10,1000064,1000148,1,1,0
3000046,"Z",10,1000064,1000149,2,2,0
